,director_name,duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,actor_3_name,country,content_rating,budget,actor_2_facebook_likes,imdb_score,movie_facebook_likes
78,Pete Docter,95.0,384.0,Mindy Kaling,1000.0,356454367.0,Adventure|Animation|Comedy|Drama|Family|Fantasy,Amy Poehler,Phyllis Smith,USA,PG,175000000.0,767.0,8.3,118000.0
80,Jon Favreau,124.0,4000.0,Scarlett Johansson,21000.0,312057433.0,Action|Adventure|Sci-Fi,Robert Downey Jr.,Jon Favreau,USA,PG-13,200000000.0,19000.0,7.0,18000.0
81,Rupert Sanders,132.0,11000.0,Kristen Stewart,26000.0,155111815.0,Action|Adventure|Drama|Fantasy,Chris Hemsworth,Sam Claflin,USA,PG-13,170000000.0,17000.0,6.1,53000.0
82,Robert Stromberg,97.0,846.0,Sharlto Copley,11000.0,241407328.0,Action|Adventure|Family|Fantasy|Romance,Angelina Jolie Pitt,Sam Riley,USA,PG,180000000.0,2000.0,7.0,89000.0
83,Matt Reeves,130.0,884.0,Judy Greer,10000.0,208543795.0,Action|Adventure|Drama|Sci-Fi,Gary Oldman,Kodi Smit-McPhee,USA,PG-13,170000000.0,2000.0,7.6,45000.0
85,Carl Rinsch,128.0,982.0,Cary-Hiroyuki Tagawa,18000.0,38297305.0,Action|Adventure|Drama|Fantasy,Keanu Reeves,Jin Akanishi,USA,PG-13,175000000.0,1000.0,6.3,35000.0
86,Anthony Russo,136.0,2000.0,Chris Evans,19000.0,259746958.0,Action|Adventure|Sci-Fi,Scarlett Johansson,Hayley Atwell,USA,PG-13,170000000.0,11000.0,7.8,55000.0
88,Brad Bird,130.0,604.0,Chris Bauer,2000.0,93417865.0,Action|Adventure|Family|Mystery|Sci-Fi,Judy Greer,Thomas Robinson,USA,PG,190000000.0,638.0,6.5,37000.0
89,Don Hall,102.0,562.0,Daniel Henney,756.0,222487711.0,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Damon Wayans Jr.,Abraham Benrubi,USA,PG,165000000.0,719.0,7.9,41000.0
90,Rich Moore,101.0,833.0,Sarah Silverman,975.0,189412677.0,Adventure|Animation|Comedy|Family|Sci-Fi,Jack McBrayer,Joe Lo Truglio,USA,PG,165000000.0,931.0,7.8,40000.0
91,Robert Zemeckis,100.0,267.0,Eddie Deezen,15000.0,665426.0,Adventure|Animation|Family|Fantasy,Tom Hanks,Peter Scolari,USA,G,165000000.0,726.0,6.6,10000.0
92,Roland Emmerich,120.0,535.0,Sela Ward,890.0,102315545.0,Action|Adventure|Sci-Fi,Vivica A. Fox,Judd Hirsch,USA,PG-13,165000000.0,812.0,5.5,67000.0
93,Dean DeBlois,98.0,759.0,America Ferrera,18000.0,217387997.0,Adventure|Animation|Family|Fantasy,Gerard Butler,Craig Ferguson,USA,PG,165000000.0,953.0,8.2,33000.0
95,James Gunn,121.0,3000.0,Vin Diesel,14000.0,333130696.0,Action|Adventure|Sci-Fi,Bradley Cooper,Djimon Hounsou,USA,PG-13,170000000.0,14000.0,8.1,96000.0
96,Christopher Nolan,169.0,6000.0,Anne Hathaway,11000.0,187991439.0,Adventure|Drama|Sci-Fi,Matthew McConaughey,Mackenzie Foy,USA,PG-13,165000000.0,11000.0,8.6,349000.0
97,Christopher Nolan,148.0,23000.0,Tom Hardy,29000.0,292568851.0,Action|Adventure|Sci-Fi|Thriller,Leonardo DiCaprio,Joseph Gordon-Levitt,USA,PG-13,160000000.0,27000.0,8.8,175000.0
99,Peter Jackson,182.0,773.0,Adam Brown,5000.0,303001229.0,Adventure|Fantasy,Aidan Turner,James Nesbitt,USA,PG-13,180000000.0,972.0,7.9,166000.0
100,Rob Cohen,106.0,4000.0,Vin Diesel,23000.0,144512310.0,Action|Crime|Thriller,Paul Walker,Jordana Brewster,USA,PG-13,38000000.0,14000.0,6.7,14000.0
101,David Fincher,166.0,919.0,Jason Flemyng,11000.0,127490802.0,Drama|Fantasy|Romance,Brad Pitt,Julia Ormond,USA,PG-13,150000000.0,1000.0,7.8,23000.0
102,Matthew Vaughn,132.0,1000.0,Michael Fassbender,34000.0,146405371.0,Action|Adventure|Sci-Fi,Jennifer Lawrence,Oliver Platt,USA,PG-13,160000000.0,13000.0,7.8,54000.0
103,Francis Lawrence,137.0,14000.0,Philip Seymour Hoffman,34000.0,281666058.0,Adventure|Sci-Fi,Jennifer Lawrence,Josh Hutcherson,USA,PG-13,160000000.0,22000.0,6.6,38000.0
104,Jon Turteltaub,109.0,370.0,Omar Benson Miller,12000.0,63143812.0,Action|Adventure|Family|Fantasy,Nicolas Cage,Robert Capron,USA,PG,150000000.0,418.0,6.1,11000.0
106,James Bobin,113.0,11000.0,Alan Rickman,40000.0,76846624.0,Adventure|Family|Fantasy,Johnny Depp,Anne Hathaway,USA,PG,170000000.0,25000.0,6.4,30000.0
108,Duncan Jones,123.0,648.0,Callum Rennie,3000.0,46978995.0,Action|Adventure|Fantasy,Dominic Cooper,Ruth Negga,USA,PG-13,160000000.0,716.0,7.3,89000.0
109,Alan Taylor,126.0,2000.0,Emilia Clarke,24000.0,89732035.0,Action|Adventure|Sci-Fi,J.K. Simmons,Matt Smith,USA,PG-13,155000000.0,10000.0,6.6,82000.0
110,Michael Apted,113.0,59.0,Shane Rangi,531.0,104383624.0,Adventure|Family|Fantasy,Bruce Spence,Laura Brent,USA,PG,155000000.0,82.0,6.3,11000.0
112,Michael Bay,144.0,581.0,Michael O'Neill,662.0,318759914.0,Action|Adventure|Sci-Fi,Zack Ward,Kevin Dunn,USA,PG-13,150000000.0,599.0,7.1,8000.0
117,Francis Lawrence,104.0,558.0,Alice Braga,10000.0,256386216.0,Drama|Horror|Sci-Fi,Will Smith,Willow Smith,USA,PG-13,150000000.0,1000.0,7.2,11000.0
119,Brad Bird,111.0,954.0,John Ratzenberger,1000.0,206435493.0,Animation|Comedy|Family|Fantasy,Janeane Garofalo,Brian Dennehy,USA,G,150000000.0,1000.0,8.0,10000.0
120,Christopher Nolan,128.0,11000.0,Liam Neeson,23000.0,205343774.0,Action|Adventure,Christian Bale,Morgan Freeman,USA,PG-13,150000000.0,14000.0,8.3,15000.0
122,Shawn Levy,105.0,1000.0,Rami Malek,49000.0,177243721.0,Adventure|Comedy|Family|Fantasy,Robin Williams,Steve Coogan,USA,PG,150000000.0,3000.0,5.9,2000.0
125,Chris Buck,102.0,490.0,Maurice LaMarche,1000.0,400736600.0,Adventure|Animation|Comedy|Family|Fantasy|Musical,Josh Gad,Livvy Stubenrauch,USA,PG,150000000.0,523.0,7.6,58000.0
127,Alan Taylor,112.0,12000.0,Natalie Portman,26000.0,206360018.0,Action|Adventure|Fantasy,Chris Hemsworth,Anthony Hopkins,USA,PG-13,170000000.0,20000.0,7.1,63000.0
130,Kenneth Branagh,115.0,12000.0,Natalie Portman,26000.0,181015141.0,Action|Adventure|Fantasy,Chris Hemsworth,Anthony Hopkins,USA,PG-13,150000000.0,20000.0,7.0,63000.0
133,Jonathan Liebesman,99.0,502.0,Edgar Ramírez,14000.0,83640426.0,Action|Adventure|Fantasy,Liam Neeson,Lily James,USA,PG-13,150000000.0,897.0,5.8,19000.0
134,Tim Burton,113.0,16000.0,Chloë Grace Moretz,40000.0,79711678.0,Comedy|Fantasy|Horror,Johnny Depp,Christopher Lee,USA,PG-13,100000000.0,17000.0,6.2,82000.0
137,David Yates,110.0,103.0,Alexander Skarsgård,11000.0,124051759.0,Action|Adventure|Drama|Romance,Christoph Waltz,Casper Crump,USA,PG-13,180000000.0,10000.0,6.6,29000.0
139,Jennifer Yuh Nelson,90.0,15.0,Gary Oldman,11000.0,165230261.0,Action|Adventure|Animation|Comedy|Family,Angelina Jolie Pitt,Mike Bell,USA,PG,150000000.0,10000.0,7.3,20000.0
140,M. Night Shyamalan,103.0,346.0,Noah Ringer,1000.0,131564731.0,Action|Adventure|Family|Fantasy,Seychelle Gabriel,Aasif Mandvi,USA,PG,150000000.0,756.0,4.2,18000.0
142,Roland Emmerich,131.0,256.0,Jake Weber,17000.0,73103784.0,Action|Drama|Thriller,Channing Tatum,Matt Craven,USA,PG-13,150000000.0,551.0,6.4,33000.0
145,Joe Wright,111.0,394.0,Cara Delevingne,20000.0,34964818.0,Adventure|Family|Fantasy,Hugh Jackman,Nonso Anozie,USA,PG,150000000.0,548.0,5.8,24000.0
146,Rob Minkoff,92.0,517.0,Zach Callison,3000.0,111505642.0,Adventure|Animation|Comedy|Family|Sci-Fi,Ty Burrell,Karan Brar,USA,PG,145000000.0,1000.0,6.9,11000.0
148,Eric Darnell,93.0,436.0,Martin Short,851.0,216366733.0,Adventure|Animation|Comedy|Family,Jada Pinkett Smith,Cedric the Entertainer,USA,PG,145000000.0,770.0,6.9,17000.0
150,Paul Feig,116.0,322.0,Kate McKinnon,783.0,118099659.0,Action|Comedy|Fantasy|Sci-Fi,Ed Begley Jr.,Zach Woods,USA,PG-13,144000000.0,370.0,5.5,62000.0
151,Michael Bay,153.0,537.0,Steve Buscemi,13000.0,201573391.0,Action|Adventure|Sci-Fi|Thriller,Bruce Willis,Will Patton,USA,PG-13,140000000.0,12000.0,6.6,11000.0
152,Barry Sonnenfeld,88.0,826.0,Rosario Dawson,10000.0,190418803.0,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,Will Smith,Rip Torn,USA,PG-13,140000000.0,3000.0,6.1,2000.0
153,Robert Zemeckis,115.0,964.0,Anthony Hopkins,18000.0,82161969.0,Action|Adventure|Animation|Fantasy,Robin Wright,Sebastian Roché,USA,PG-13,150000000.0,12000.0,6.3,3000.0
154,Alessandro Carloni,95.0,967.0,Angelina Jolie Pitt,24000.0,143523463.0,Action|Adventure|Animation|Comedy|Family,J.K. Simmons,Wayne Knight,USA,PG,145000000.0,11000.0,7.2,24000.0
155,Brad Bird,133.0,690.0,Jeremy Renner,10000.0,209364921.0,Action|Adventure|Thriller,Tom Cruise,Michael Nyqvist,USA,PG-13,145000000.0,10000.0,7.4,35000.0
156,Peter Ramsey,97.0,161.0,Kamil McFadden,20000.0,103400692.0,Adventure|Animation|Family|Fantasy,Hugh Jackman,Khamani Griffin,USA,PG,145000000.0,315.0,7.3,25000.0
157,Dean Parisot,90.0,233.0,Richard Burgi,957.0,110332737.0,Comedy|Crime,John Michael Higgins,David Herman,USA,PG-13,100000000.0,550.0,6.1,2000.0
160,J.J. Abrams,127.0,981.0,Leonard Nimoy,26000.0,257704099.0,Action|Adventure|Sci-Fi,Chris Hemsworth,Bruce Greenwood,USA,PG-13,150000000.0,12000.0,8.0,19000.0
161,Sam Raimi,121.0,4000.0,James Franco,24000.0,403706375.0,Action|Adventure|Fantasy|Romance,J.K. Simmons,Kirsten Dunst,USA,PG-13,139000000.0,11000.0,7.3,5000.0
162,Dean DeBlois,102.0,953.0,Djimon Hounsou,18000.0,176997107.0,Action|Adventure|Animation|Comedy|Family|Fantasy,Gerard Butler,America Ferrera,USA,PG,145000000.0,3000.0,7.9,46000.0
163,Alex Proyas,126.0,284.0,Elodie Yung,18000.0,31141074.0,Action|Adventure|Fantasy,Gerard Butler,Bryan Brown,USA,PG-13,140000000.0,934.0,5.5,24000.0
165,Zack Snyder,215.0,413.0,Billy Crudup,986.0,107503316.0,Action|Drama|Mystery|Sci-Fi,Matt Frewer,Stephen McHattie,USA,R,130000000.0,745.0,7.7,18000.0
168,Jon M. Chu,122.0,934.0,Dwayne Johnson,17000.0,122512052.0,Action|Adventure|Sci-Fi|Thriller,Channing Tatum,Elodie Yung,USA,PG-13,130000000.0,12000.0,5.8,42000.0
171,Joe Johnston,124.0,2000.0,Dominic Cooper,11000.0,176636816.0,Action|Adventure|Sci-Fi,Chris Evans,Hayley Atwell,USA,PG-13,140000000.0,3000.0,6.9,46000.0
174,Bill Condon,115.0,12000.0,Kristen Stewart,21000.0,292298923.0,Adventure|Drama|Fantasy|Romance,Robert Pattinson,Taylor Lautner,USA,PG-13,120000000.0,17000.0,5.5,65000.0
179,Alejandro G. Iñárritu,156.0,733.0,Tom Hardy,29000.0,183635922.0,Adventure|Drama|Thriller|Western,Leonardo DiCaprio,Lukas Haas,USA,R,135000000.0,27000.0,8.1,190000.0
180,David Soren,96.0,463.0,Snoop Dogg,16000.0,83024900.0,Adventure|Animation|Comedy|Family|Sport,Ryan Reynolds,Ben Schwartz,USA,PG,135000000.0,881.0,6.5,13000.0
181,Gore Verbinski,107.0,939.0,Ray Winstone,40000.0,123207194.0,Adventure|Animation|Comedy|Family|Western,Johnny Depp,Stephen Root,USA,PG,135000000.0,1000.0,7.2,26000.0
182,Eric Darnell,92.0,179.0,Annet Mahendru,19000.0,83348920.0,Adventure|Animation|Comedy|Family,Benedict Cumberbatch,Andy Richter,USA,PG,132000000.0,411.0,6.7,11000.0
184,Mark Osborne,92.0,562.0,Wayne Knight,11000.0,215395021.0,Action|Adventure|Animation|Comedy|Family,Angelina Jolie Pitt,Dan Fogler,USA,PG,130000000.0,967.0,7.6,6000.0
185,Peyton Reed,117.0,680.0,Hayley Atwell,2000.0,180191634.0,Action|Adventure|Comedy|Sci-Fi,Judy Greer,T.I.,USA,PG-13,130000000.0,2000.0,7.4,61000.0
186,Francis Lawrence,146.0,523.0,Josh Hutcherson,34000.0,424645577.0,Adventure|Sci-Fi|Thriller,Jennifer Lawrence,Sandra Ellis Lafferty,USA,PG-13,130000000.0,14000.0,7.6,82000.0
187,Bill Condon,115.0,12000.0,Kristen Stewart,21000.0,292298923.0,Adventure|Drama|Fantasy|Romance,Robert Pattinson,Taylor Lautner,USA,PG-13,120000000.0,17000.0,5.5,65000.0
188,Tim Johnson,94.0,183.0,Matt Jones,17000.0,177343675.0,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Jim Parsons,April Winchell,USA,PG,135000000.0,523.0,6.7,26000.0
191,Chris Miller,90.0,397.0,Constance Marie,4000.0,149234747.0,Action|Adventure|Animation|Comedy|Family|Fantasy,Salma Hayek,Amy Sedaris,USA,PG,130000000.0,442.0,6.7,16000.0
192,Phillip Noyce,101.0,282.0,Andre Braugher,11000.0,118311368.0,Action|Crime|Mystery|Thriller,Angelina Jolie Pitt,August Diehl,USA,PG-13,110000000.0,702.0,6.4,23000.0
193,Darren Aronofsky,138.0,8000.0,Emma Watson,12000.0,101160529.0,Action|Adventure|Drama,Anthony Hopkins,Logan Lerman,USA,PG-13,125000000.0,9000.0,5.8,71000.0
194,Steven Spielberg,107.0,845.0,Mackenzie Crook,2000.0,77564037.0,Action|Adventure|Family|Mystery,Toby Jones,Tony Curran,USA,PG,135000000.0,871.0,7.4,44000.0
197,M. Night Shyamalan,100.0,894.0,Zoë Kravitz,10000.0,60522097.0,Action|Adventure|Sci-Fi,Will Smith,Glenn Morshower,USA,PG-13,130000000.0,943.0,4.9,37000.0
200,Shawn Levy,98.0,1000.0,Rami Malek,49000.0,113733726.0,Adventure|Comedy|Family|Fantasy,Robin Williams,Steve Coogan,USA,PG,127000000.0,3000.0,6.2,11000.0
201,Tom McGrath,95.0,8000.0,Brad Pitt,24000.0,148337537.0,Action|Animation|Comedy|Family|Sci-Fi,J.K. Simmons,Will Ferrell,USA,PG,130000000.0,11000.0,7.3,13000.0
203,Robert Schwentke,96.0,1000.0,Jeff Bridges,16000.0,33592415.0,Action|Comedy|Fantasy,Ryan Reynolds,Stephanie Szostak,USA,PG-13,130000000.0,12000.0,5.6,20000.0
205,Gore Verbinski,143.0,1000.0,Orlando Bloom,40000.0,305388685.0,Action|Adventure|Fantasy,Johnny Depp,Jack Davenport,USA,PG-13,140000000.0,5000.0,8.1,10000.0
207,Francis Lawrence,123.0,14000.0,Philip Seymour Hoffman,34000.0,337103873.0,Adventure|Sci-Fi|Thriller,Jennifer Lawrence,Josh Hutcherson,USA,PG-13,125000000.0,22000.0,6.7,52000.0
211,Justin Lin,132.0,12000.0,Vin Diesel,23000.0,209805005.0,Action|Crime|Thriller,Paul Walker,Dwayne Johnson,USA,PG-13,125000000.0,14000.0,7.3,54000.0
212,Guy Ritchie,129.0,154.0,Eddie Marsan,21000.0,186830669.0,Action|Adventure|Crime|Mystery|Thriller,Robert Downey Jr.,Paul Anderson,USA,PG-13,125000000.0,979.0,7.5,39000.0
213,Louis Leterrier,106.0,850.0,Jason Flemyng,14000.0,163192114.0,Action|Adventure|Fantasy,Liam Neeson,Alexa Davalos,USA,PG-13,125000000.0,1000.0,5.8,15000.0
216,Tony Gilroy,135.0,602.0,Scott Glenn,10000.0,113165635.0,Action|Adventure|Thriller,Jeremy Renner,Stacy Keach,USA,PG-13,125000000.0,826.0,6.7,31000.0
219,Roland Emmerich,124.0,812.0,Dennis Quaid,15000.0,186739919.0,Action|Adventure|Sci-Fi|Thriller,Jake Gyllenhaal,Sela Ward,USA,PG-13,125000000.0,2000.0,6.4,19000.0
223,Ang Lee,127.0,341.0,Rafe Spall,774.0,124976634.0,Adventure|Drama|Fantasy,Suraj Sharma,Tabu,USA,PG,120000000.0,358.0,8.0,122000.0
227,Ridley Scott,124.0,641.0,Charlize Theron,13000.0,126464904.0,Adventure|Mystery|Sci-Fi,Michael Fassbender,Sean Harris,USA,R,130000000.0,9000.0,7.0,97000.0
